time,open,high,low,close,tick_volume,spread,real_volume
2026-01-08,4458.85,4479.52,4407.76,4477.39,451570,8,0
2026-01-09,4481.27,4517.16,4452.95,4509.52,403588,8,0
2026-01-12,4518.93,4630.23,4512.96,4596.9,465417,8,0
2026-01-13,4597.27,4634.71,4569.87,4586.63,439138,8,0
2026-01-14,4588.39,4642.97,4587.26,4626.05,464150,8,0
2026-01-15,4630.62,4632.62,4581.25,4615.57,469528,8,0
2026-01-16,4616.45,4620.9,4536.75,4595.85,430941,8,0
2026-01-19,4628.22,4690.77,4620.22,4670.92,341145,9,0
2026-01-20,4672.44,4766.3,4659.56,4763.17,276330,8,0
2026-01-21,4764.44,4888.33,4755.71,4828.83,277963,9,0
2026-01-22,4831.1,4940.72,4772.33,4936.2,230460,10,0
2026-01-23,4942.18,4989.74,4899.67,4987.1,244416,10,0
2026-01-26,5006.29,5111.13,4990.13,5008.66,503053,10,0
2026-01-27,5013.41,5190.46,5012.82,5180.95,538678,10,0
2026-01-28,5179.66,5417.58,5157.41,5417.42,571760,10,0
2026-01-29,5415.79,5598.61,5102.71,5377.9,632985,10,0
2026-01-30,5386.99,5450.95,4691.37,4885.55,637451,10,0
2026-02-02,4809.66,4884.48,4402.98,4658.41,563438,10,0
2026-02-03,4670.51,4993.87,4665.96,4946.45,502157,10,0
2026-02-04,4945.85,5091.85,4854.29,4965.2,454211,10,0
2026-02-05,4965.58,5023.82,4759.79,4776.55,516048,10,0
2026-02-06,4789.7,4971.48,4655.22,4966.01,439628,10,0
2026-02-09,4983.79,5086.67,4965.13,5060.3,399495,10,0
2026-02-10,5060.87,5078.64,4987.88,5022.9,388122,10,0
2026-02-11,5027.08,5119.17,5019.04,5082.74,381153,10,0
2026-02-12,5085.14,5099.96,4878.62,4922.08,386186,10,0
2026-02-13,4929.99,5046.11,4888.11,5043.31,358939,10,0
2026-02-16,5037.74,5052.31,4966.54,4993.32,216988,10,0
2026-02-17,4995.41,5000.85,4842.2,4878.15,336736,10,0
